infrared_value,mq2_value,humidity,temperature,label
0,686,83.0,40.1,2
0,665,83.0,40.1,2
0,656,83.0,40.1,2
0,636,83.0,40.1,2
0,627,87.0,42.6,2
0,617,87.0,42.6,2
0,610,87.0,42.6,2
0,594,87.0,42.6,2
0,586,86.0,45.7,2
0,579,86.0,45.7,2
0,580,86.0,45.7,2
0,566,86.0,45.7,2
0,563,84.0,49.8,2
0,595,84.0,49.8,2
0,634,84.0,49.8,2
0,672,84.0,49.8,2
0,707,79.0,53.8,2
0,684,79.0,53.8,2
0,652,79.0,53.8,2
0,640,79.0,53.8,2
0,722,73.0,57.3,2
0,736,73.0,57.3,2
0,749,73.0,57.3,2
0,750,73.0,57.3,2
0,724,61.0,60.1,2
0,696,61.0,60.1,2
0,724,61.0,60.1,2
0,724,61.0,60.1,2
0,695,55.0,60.1,2
0,671,55.0,60.1,2
0,651,55.0,60.1,2
0,638,55.0,60.1,2
0,626,44.0,60.1,2
0,606,44.0,60.1,2
0,596,44.0,60.1,2
0,587,44.0,60.1,2
0,578,38.0,60.1,2
0,564,38.0,60.1,2
0,556,38.0,60.1,2
0,549,38.0,60.1,2
0,542,31.0,60.1,2
0,534,31.0,60.1,2
0,527,31.0,60.1,2
0,523,31.0,60.1,2
0,519,25.0,60.1,2
0,511,25.0,60.1,2
0,505,25.0,60.1,2
0,500,25.0,60.1,2
0,496,20.0,60.1,2
0,492,20.0,60.1,2
0,487,20.0,60.1,2
0,483,20.0,60.1,2
1,479,15.0,60.1,2
0,473,15.0,60.1,2
0,469,15.0,60.1,2
0,466,15.0,60.1,2
0,464,10.0,60.1,2
0,456,10.0,60.1,2
0,453,10.0,60.1,2
0,451,10.0,60.1,2
0,451,7.0,60.1,2
0,446,7.0,60.1,2
0,447,7.0,60.1,2
0,446,7.0,60.1,2
0,440,5.0,60.1,2
0,438,5.0,60.1,2
0,430,5.0,60.1,2
0,429,5.0,60.1,2
0,430,5.0,60.1,2
0,427,5.0,60.1,2
0,425,5.0,60.1,2
0,420,5.0,60.1,2
0,415,3.0,60.1,2
0,413,3.0,60.1,2
0,417,3.0,60.1,2
0,413,3.0,60.1,2
0,409,3.0,60.1,2
0,409,3.0,60.1,2
0,412,3.0,60.1,2
0,409,3.0,60.1,2
0,402,3.0,60.1,2
0,401,3.0,60.1,2
0,406,3.0,60.1,2
0,401,3.0,60.1,2
0,399,3.0,60.1,2
0,403,3.0,60.1,2
0,406,3.0,60.1,2
0,405,3.0,60.1,2
0,418,3.0,60.1,2
0,412,3.0,60.1,2
0,408,3.0,60.1,2
0,411,3.0,60.1,2
0,406,3.0,60.1,2
0,409,3.0,60.1,2
0,409,3.0,60.1,2
0,406,3.0,60.1,2
0,412,3.0,60.1,2
0,407,3.0,60.1,2
0,410,3.0,60.1,2
0,410,3.0,60.1,2
0,409,3.0,60.1,2
0,412,3.0,60.1,2
0,406,3.0,60.1,2
0,412,3.0,60.1,2
0,408,3.0,60.1,2
0,414,3.0,60.1,2
0,416,3.0,60.1,2
0,429,3.0,60.1,2
0,432,3.0,60.1,2
0,427,3.0,60.1,2
0,433,3.0,60.1,2
0,430,3.0,60.1,2
0,434,3.0,60.1,2
0,427,3.0,60.1,2
0,431,3.0,60.1,2
0,424,3.0,60.1,2
0,429,3.0,60.1,2
0,422,3.0,60.1,2
0,424,3.0,60.1,2
0,419,3.0,60.1,2
0,423,3.0,60.1,2
0,418,3.0,60.1,2
0,420,3.0,60.1,2
0,416,3.0,60.1,2
0,422,3.0,60.1,2
0,417,3.0,60.1,2
0,416,3.0,60.1,2
0,412,3.0,60.1,2
0,419,3.0,60.1,2
0,412,3.0,60.1,2
0,417,3.0,60.1,2
0,410,3.0,60.1,2
0,414,3.0,60.1,2
0,408,3.0,60.1,2
0,413,3.0,60.1,2
0,408,3.0,60.1,2
0,409,3.0,60.1,2
0,407,3.0,60.1,2
0,407,3.0,60.1,2
0,413,3.0,60.1,2
0,408,3.0,60.1,2
0,410,3.0,60.1,2
1,277,85.0,25.3,0
1,277,85.0,25.3,0
1,277,85.0,25.3,0
1,277,85.0,25.3,0
1,276,85.0,25.3,0
1,276,85.0,25.3,0
1,275,85.0,25.3,0
1,276,85.0,25.3,0
1,275,85.0,25.3,0
1,275,85.0,25.3,0
